r,l,t,m,y,RateOfActivity
RE1,S11,PWRTRN,1,2033,98.1333
RE1,S11,PWRTRN,1,2034,100.2667
RE1,S11,PWRTRN,1,2035,103.1111
RE1,S11,PWRWND,1,2020,9.4608
RE1,S11,PWRWND,1,2021,9.4608
RE1,S11,PWRWND,1,2022,9.4608
RE1,S11,PWRWND,1,2023,9.4608
RE1,S11,PWRWND,1,2024,9.4608
RE1,S11,PWRWND,1,2025,9.4608
RE1,S11,PWRWND,1,2026,9.4608
RE1,S11,PWRWND,1,2027,15.924
RE1,S11,PWRWND,1,2028,24.0769
RE1,S11,PWRWND,1,2029,32.2299
RE1,S11,PWRWND,1,2030,78.8376
RE1,S11,PWRWND,1,2031,81.1843
RE1,S11,PWRWND,1,2032,83.531
RE1,S11,PWRWND,1,2033,86.6599
RE1,S11,PWRWND,1,2034,89.0065
RE1,S11,PWRWND,1,2035,92.1354
RE1,S12,DEMPWRSURWAT,1,2020,0.0
RE1,S12,DEMPWRSURWAT,1,2021,0.0
RE1,S12,DEMPWRSURWAT,1,2022,0.0
RE1,S12,DEMPWRSURWAT,1,2023,0.0
RE1,S12,DEMPWRSURWAT,1,2024,0.0
RE1,S12,DEMPWRSURWAT,1,2025,0.0
RE1,S12,DEMPWRSURWAT,1,2026,0.0
RE1,S12,DEMPWRSURWAT,1,2027,0.0
RE1,S12,DEMPWRSURWAT,1,2028,0.0
RE1,S12,DEMPWRSURWAT,1,2029,0.0
RE1,S12,DEMPWRSURWAT,1,2030,0.0
RE1,S12,DEMPWRSURWAT,1,2031,0.0
RE1,S12,DEMPWRSURWAT,1,2032,0.0
RE1,S12,DEMPWRSURWAT,1,2033,0.0
RE1,S12,DEMPWRSURWAT,1,2034,0.0
RE1,S12,DEMPWRSURWAT,1,2035,0.0
RE1,S12,LNDBLT,1,2020,9.901
RE1,S12,LNDBLT,1,2021,10.198
RE1,S12,LNDBLT,1,2022,10.4951
RE1,S12,LNDBLT,1,2023,10.7921
RE1,S12,LNDBLT,1,2024,11.1881
RE1,S12,LNDBLT,1,2025,11.4851
RE1,S12,LNDBLT,1,2026,11.7822
RE1,S12,LNDBLT,1,2027,12.1782
RE1,S12,LNDBLT,1,2028,12.5743
RE1,S12,LNDBLT,1,2029,12.8713
RE1,S12,LNDBLT,1,2030,13.2673
RE1,S12,LNDBLT,1,2031,13.6634
RE1,S12,LNDBLT,1,2032,14.1584
RE1,S12,LNDBLT,1,2033,14.5545
RE1,S12,LNDBLT,1,2034,14.9505
RE1,S12,LNDBLT,1,2035,15.4455
RE1,S12,LNDFOR,1,2020,182.6733
RE1,S12,LNDFOR,1,2021,180.3465
RE1,S12,LNDFOR,1,2022,178.1188
RE1,S12,LNDFOR,1,2023,175.6683
RE1,S12,LNDFOR,1,2024,173.1188
RE1,S12,LNDFOR,1,2025,170.4208
RE1,S12,LNDFOR,1,2026,167.8713
RE1,S12,LNDFOR,1,2027,165.2228
RE1,S12,LNDFOR,1,2028,162.4505
RE1,S12,LNDFOR,1,2029,159.6535
RE1,S12,LNDFOR,1,2030,156.8812
RE1,S12,LNDFOR,1,2031,153.8861
RE1,S12,LNDFOR,1,2032,150.8911
RE1,S12,LNDFOR,1,2033,147.797
RE1,S12,LNDFOR,1,2034,144.6782
RE1,S12,LNDFOR,1,2035,141.4604
RE1,S12,LNDMAIHI,1,2020,0.0
RE1,S12,LNDMAIHI,1,2021,0.0
RE1,S12,LNDMAIHI,1,2022,0.0
RE1,S12,LNDMAIHI,1,2023,0.0
RE1,S12,LNDMAIHI,1,2024,0.0
RE1,S12,LNDMAIHI,1,2025,0.0
RE1,S12,LNDMAIHI,1,2026,0.0
RE1,S12,LNDMAIHI,1,2027,0.0
RE1,S12,LNDMAIHI,1,2028,0.0
RE1,S12,LNDMAIHI,1,2029,0.0
RE1,S12,LNDMAIHI,1,2030,0.0
RE1,S12,LNDMAIHI,1,2031,0.0
RE1,S12,LNDMAIHI,1,2032,0.0
RE1,S12,LNDMAIHI,1,2033,0.0
RE1,S12,LNDMAIHI,1,2034,0.0
RE1,S12,LNDMAIHI,1,2035,0.0
RE1,S12,LNDMAIHR,1,2020,49.505
RE1,S12,LNDMAIHR,1,2021,50.7426
RE1,S12,LNDMAIHR,1,2022,51.9802
RE1,S12,LNDMAIHR,1,2023,53.3416
RE1,S12,LNDMAIHR,1,2024,54.703
RE1,S12,LNDMAIHR,1,2025,56.0644
RE1,S12,LNDMAIHR,1,2026,57.4257
RE1,S12,LNDMAIHR,1,2027,58.7871
RE1,S12,LNDMAIHR,1,2028,60.2723
RE1,S12,LNDMAIHR,1,2029,61.8812
RE1,S12,LNDMAIHR,1,2030,63.3663
RE1,S12,LNDMAIHR,1,2031,64.9752
RE1,S12,LNDMAIHR,1,2032,66.5842
RE1,S12,LNDMAIHR,1,2033,68.1931
RE1,S12,LNDMAIHR,1,2034,69.9257
RE1,S12,LNDMAIHR,1,2035,71.6584
RE1,S12,LNDRICHI,1,2020,0.0
RE1,S12,LNDRICHI,1,2021,0.0
RE1,S12,LNDRICHI,1,2022,0.0
RE1,S12,LNDRICHI,1,2023,0.0
RE1,S12,LNDRICHI,1,2024,0.0
RE1,S12,LNDRICHI,1,2025,0.0
RE1,S12,LNDRICHI,1,2026,0.0
RE1,S12,LNDRICHI,1,2027,0.0
RE1,S12,LNDRICHI,1,2028,0.0
RE1,S12,LNDRICHI,1,2029,0.0
RE1,S12,LNDRICHI,1,2030,0.0
RE1,S12,LNDRICHI,1,2031,0.0
RE1,S12,LNDRICHI,1,2032,0.0
RE1,S12,LNDRICHI,1,2033,0.0
RE1,S12,LNDRICHI,1,2034,0.0
